symbol,name,gql_symbol,gql_name,exch,gics_sector,industry,qm,shares_outstanding,market_cap,price,gql_ok,suffix,tsxv_sector,drop_reason,in_universe
SML,Southstone Minerals Limited,SML,Southstone Minerals Limited,TSXV,Materials,Mining,Precious Metals,32041888.0,1602095.0,0.05,True,,Mining,,True
SPSA.P,SP Strategic Acquisition Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
YSK.P,Space Kingdom Digital Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
SQG,Spackman Equities Group Inc.,SQG,Spackman Equities Group Inc.,TSXV,Finance,Asset Management Services,Asset Management Services,293756362.0,35250764.0,0.12,True,,Diversified Industries,,True
SPA,Spanish Mountain Gold Ltd,SPA,Spanish Mountain Gold Ltd.,TSXV,Materials,Mining,Gold,527302713.0,187192464.0,0.355,True,,Mining,,True
SPRQ,Sparq Systems Inc.,SPRQ,Sparq Systems Inc.,TSXV,Energy,Renewable Energy Producers,Solar Energy,116735112.0,116735112.0,1.0,True,,CleanTech,,True
SHK.P,Sparrowhawk Opportunity Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
SPAR,Spartacus Metals Inc.,SPAR,Spartacus Metals Inc.,TSXV,Materials,Mining,Industrial Metals,7934297.0,1110802.0,0.14,True,,Mining,,True
W,Spartan Metals Corp.,W,Spartan Metals Corp.,TSXV,Materials,Mining,Industrial Metals,54145343.0,29238486.0,0.54,True,,Mining,,True
SRI,Sparton Resources Inc.,SRI,Sparton Resources Inc.,TSXV,Materials,Mining,Industrial Metals,181727252.0,2725909.0,0.015,True,,Mining,,True
SPC,SPC Nickel Corp.,SPC,SPC Nickel Corp.,TSXV,Materials,Mining,Industrial Metals,447323825.0,38022526.0,0.085,True,,Mining,,True
SSA,Spectra Products Inc.,SSA,Spectra Products Inc.,TSXV,Consumer Discretionary,Vehicles,Automotive Parts,13055565.0,2480558.0,0.19,True,,Diversified Industries,,True
SOO.P,Spectre Capital Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
SRQ,SRQ Resources Inc.,SRQ,SRQ Resources Inc.,TSXV,Materials,Mining,Industrial Metals,46095650.0,3687652.0,0.08,True,,Mining,,True
LORD,St. James Gold Corp.,LORD,St. James Gold Corp.,TSXV,Materials,Mining,Gold,39535628.0,2767494.0,0.07,True,,Mining,,True
SRC,Stakeholder Gold Corp.,SRC,Stakeholder Gold Corp.,TSXV,Materials,Mining,Gold,25922662.0,44068526.0,1.7,True,,Mining,,True
STUD,Stallion Uranium Corp.,STUD,Stallion Uranium Corp.,TSXV,Energy,Other Energy Sources,Uranium,150132530.0,21769217.0,0.145,True,,CleanTech,,True
SDI,Stampede Drilling Inc.,SDI,Stampede Drilling Inc.,TSXV,Energy,Oil & Gas Drilling,Oil & Gas Drilling,199941595.0,45986567.0,0.23,True,,Oil & Gas,,True
STMP,Stamper Oil & Gas Corp.,STMP,Stamper Oil & Gas Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,120192051.0,8413444.0,0.07,True,,Oil & Gas,,True
SLI,Standard Lithium Ltd.,SLI,Standard Lithium Ltd.,TSXV,Materials,Mining,Industrial Metals,246411248.0,850118806.0,3.45,True,,Mining,,True
STND,Standard Uranium Ltd.,STND,Standard Uranium Ltd.,TSXV,Energy,Other Energy Sources,Uranium,159475607.0,11960671.0,0.075,True,,CleanTech,,True
ZIGY,Stardust Metal Corp.,ZIGY,Stardust Metal Corp.,TSXV,Materials,Mining,Gold,45230783.0,82320026.0,1.82,True,,Mining,,True
SUN,Stardust Solar Energy Inc.,SUN,Stardust Solar Energy Inc.,TSXV,Energy,Renewable Energy Producers,Solar Energy,110793557.0,5539678.0,0.05,True,,CleanTech,,True
SURF.UN,Starlight U.S. Residential Fund (Multi-Family) Investment LP,,,,,,,,,,False,UN,Diversified Industries,suffix:UN,False
STE,Starr Peak Mining Ltd.,STE,Starr Peak Mining Ltd.,TSXV,Materials,Mining,Industrial Metals,60125752.0,21645271.0,0.36,True,,Mining,,True
SPX,Stellar AfricaGold Inc.,SPX,Stellar AfricaGold Inc.,TSXV,Materials,Mining,Gold,64970784.0,7146787.0,0.11,True,,Mining,,True
SAG,Sterling Metals Corp.,SAG,Sterling Metals Corp.,TSXV,Materials,Mining,Industrial Metals,46251162.0,57813953.0,1.25,True,,Mining,,True
PGE,Stillwater Critical Minerals Corp.,PGE,Stillwater Critical Minerals Corp.,TSXV,Materials,Mining,Industrial Metals,312391379.0,142138078.0,0.455,True,,Mining,,True
STW,Stockworks Gold Inc.,STW,Stockworks Gold Inc.,TSXV,Materials,Mining,Gold,21015493.0,1996472.0,0.095,True,,Mining,,True
STRM,Storm Exploration Inc.,STRM,Storm Exploration Inc.,TSXV,Materials,Mining,Precious Metals,28563944.0,14567612.0,0.51,True,,Mining,,True
SGE,Strategem Capital Corporation,SGE,Strategem Capital Corporation,TSXV,Finance,Asset Management Services,Asset Management Services,9114028.0,6835521.0,0.75,True,,Diversified Industries,,True
SMD,Strategic Metals Ltd.,SMD,Strategic Metals Ltd.,TSXV,Materials,Mining,Industrial Metals,111055967.0,38314309.0,0.345,True,,Mining,,True
SR,Strategic Resources Inc.,SR,Strategic Resources Inc.,TSXV,Materials,Mining,Industrial Metals,59027995.0,19479239.0,0.33,True,,Mining,,True
SKP,Strikepoint Gold Inc.,SKP,Strikepoint Gold Inc.,TSXV,Materials,Mining,Precious Metals,62392382.0,10294744.0,0.165,True,,Mining,,True
